restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table booking,cuisine_type,area,local_address,cost_per_person,rating_category
Ice Creamist,Dessert Parlor,2.8,40,300.0,No,No,"Ice Cream, Desserts, Beverages",Indiranagar,Indiranagar,150.0,Low
Ice Crystal Gola,Dessert Parlor,2.8,40,100.0,No,No,"Ice Cream, Juices, Beverages",Brookefield,Marathahalli,50.0,Low
Ice Cubes,Quick Bites,3.0,16,400.0,No,No,"Fast Food, Desserts, Beverages",Old Airport Road,Indiranagar,200.0,Low
Ice Fort,Dessert Parlor,3.7,23,300.0,No,No,Ice Cream,Rajajinagar,Basaveshwara Nagar,150.0,Average
Ice Land,Dessert Parlor,3.6,34,300.0,Yes,No,"Ice Cream, Desserts",Basavanagudi,Jp Nagar,150.0,Average
Ice Magic,Quick Bites,3.4,6,250.0,No,No,"Ice Cream, Fast Food, Beverages, Burger, Desserts, Juices",New Bel Road,New Bel Road,125.0,Average
Ice N Fries Cafe,Quick Bites,3.7,39,200.0,Yes,No,"Ice Cream, Fast Food, Burger, Pizza, Sandwich, Desserts, Beverages",Bellandur,Sarjapur Road,100.0,Average
Ice N Spice,Dessert Parlor,3.7,17,200.0,No,No,Desserts,Brigade Road,Mg Road,100.0,Average
Ice Stone Creamery,Dessert Parlor,3.6,42,400.0,Yes,No,"Desserts, Ice Cream",Koramangala 7Th Block,Jayanagar,200.0,Average
Ice Thunder,Quick Bites,3.8,124,300.0,No,No,"South Indian, Fast Food, North Indian, Desserts",Banashankari,Basavanagudi,150.0,Average
Ice Treat,Quick Bites,3.8,42,200.0,Yes,No,"Juices, Ice Cream",Bellandur,Hsr,100.0,Average
Iceberg Icecreams,Dessert Parlor,4.0,41,250.0,Yes,No,"Desserts, Ice Cream",Jayanagar,Basavanagudi,125.0,Average
Icebreakers,Dessert Parlor,3.6,7,500.0,Yes,No,"Desserts, Ice Cream",Koramangala 6Th Block,Hsr,250.0,Average
Idc Kitchen,Quick Bites,4.1,60,200.0,No,No,South Indian,Lavelle Road,Majestic,100.0,Excellent
Ideal Kitchen,Quick Bites,3.5,26,250.0,Yes,No,"North Indian, Chinese, South Indian, Seafood",Brigade Road,Indiranagar,125.0,Average
Idli & Dosa Cafe,Quick Bites,2.6,91,200.0,No,No,South Indian,Hsr,Hsr,100.0,Low
Idly Mane,Quick Bites,3.5,40,200.0,No,No,"South Indian, Street Food",Basavanagudi,Basavanagudi,100.0,Average
Idly Pidly,Quick Bites,3.2,148,250.0,Yes,No,South Indian,Bannerghatta Road,Bannerghatta Road,125.0,Average
Ifruit Ice Cream,Dessert Parlor,3.3,4,150.0,Yes,No,"Desserts, Ice Cream",Banashankari,Kumaraswamy Layout,75.0,Average
Ifruit Live Ice Creams,Dessert Parlor,3.4,10,300.0,No,No,Ice Cream,Koramangala 4Th Block,Koramangala 1St Block,150.0,Average
Igloo Shakez & Bytez,"Beverage Shop, Quick Bites",3.1,7,300.0,No,No,"Beverages, Fast Food, Desserts",Hsr,Hsr,150.0,Average
Ila Kitchen,Casual Dining,3.7,14,500.0,No,No,Kerala,Kalyan Nagar,Banaswadi,250.0,Average
Ilyazsab Shawarma Cafe,Quick Bites,2.8,40,300.0,Yes,No,"Fast Food, Rolls","Byresandra,Tavarekere,Madiwala",Jayanagar,150.0,Low
Ilyazsab The House Of Chicken,Quick Bites,4.0,117,250.0,Yes,No,"Rolls, Kebab","Byresandra,Tavarekere,Madiwala",Btm,125.0,Average
Imli,Casual Dining,3.8,1837,900.0,Yes,No,"North Indian, Street Food",Indiranagar,Indiranagar,450.0,Average
Imli Express,"Takeaway, Delivery",2.8,40,150.0,No,No,Fast Food,Indiranagar,Indiranagar,75.0,Low
Impala Biryani,Quick Bites,3.2,4,150.0,No,No,"Biryani, North Indian",Jp Nagar,Jp Nagar,75.0,Average
Imperia Restaurant,Casual Dining,2.4,125,500.0,Yes,No,"North Indian, Chinese, Arabian, Biryani, Fast Food",Brookefield,Whitefield,250.0,Low
Imperial Restaurant,Casual Dining,2.9,238,800.0,Yes,No,"North Indian, Chinese, Biryani, Kebab, Juices",Frazer Town,Shivajinagar,400.0,Low
Imperial Room,"Casual Dining, Bar",3.2,4,1000.0,No,No,"North Indian, Chinese",Lavelle Road,Majestic,500.0,Average
Imperio Cafe,Quick Bites,3.9,22,200.0,No,No,"Cafe, Fast Food, Pizza, Burger, Beverages",Bellandur,Whitefield,100.0,Average
Imperio Restaurant,Casual Dining,4.2,767,700.0,Yes,Yes,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",Brookefield,Brookefield,350.0,Excellent
In Time Cane Juice,Beverage Shop,3.5,10,100.0,Yes,No,"Juices, Beverages",Banashankari,Kumaraswamy Layout,50.0,Average
In Wok,Casual Dining,3.6,118,500.0,Yes,No,Chinese,Brigade Road,Richmond Road,250.0,Average
Inazia - Sheraton Grand Bengaluru Whitefield Hotel &...,Casual Dining,4.3,246,2500.0,No,Yes,"Asian, Chinese",Whitefield,Whitefield,1250.0,Excellent
Incanto - The Zuri,Fine Dining,4.0,89,2500.0,No,Yes,Italian,Whitefield,Whitefield,1250.0,Average
Inchara,Casual Dining,3.7,535,950.0,No,No,"North Indian, Continental, Chinese",Bannerghatta Road,Jp Nagar,475.0,Average
Inchara Restaurant,Casual Dining,3.4,182,500.0,Yes,No,"Chinese, North Indian, Hyderabadi, Biryani",Kalyan Nagar,Banaswadi,250.0,Average
Ind Foodies,Delivery,2.8,40,300.0,No,No,"North Indian, Chinese",Whitefield,Whitefield,150.0,Low
India Garden,Casual Dining,3.3,211,550.0,Yes,No,"North Indian, Chinese, Fast Food, Beverages",Electronic City,Electronic City,275.0,Average
India On Wheels,Delivery,3.6,11,400.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 3Rd Block,200.0,Average
Indian Aroma Cafe,Quick Bites,2.8,83,300.0,Yes,No,"North Indian, Chinese",Brookefield,Whitefield,150.0,Low
Indian Chaps House,Quick Bites,3.7,14,400.0,No,No,North Indian,Marathahalli,Marathahalli,200.0,Average
Indian Chicken Biryani Point,Quick Bites,3.1,6,250.0,No,No,Biryani,Rajajinagar,Vijay Nagar,125.0,Average
Indian Chulha,Quick Bites,2.8,40,200.0,Yes,No,North Indian,Brookefield,Whitefield,100.0,Low
Indian Coffee House,Quick Bites,3.9,1218,200.0,No,No,South Indian,Church Street,Church Street,100.0,Average
Indian Coffee House & Restaurant,Casual Dining,4.1,674,650.0,No,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,325.0,Excellent
Indian Dhaba,Casual Dining,3.3,7,450.0,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,225.0,Average
Indian Durbar - Conrad Bengaluru,Fine Dining,3.7,54,3000.0,No,Yes,North Indian,Lavelle Road,Ulsoor,1500.0,Average
Indian Food,Quick Bites,2.8,40,200.0,Yes,No,"North Indian, South Indian",Brookefield,Marathahalli,100.0,Low
Indian Food Court,Quick Bites,3.8,234,400.0,Yes,No,"North Indian, Chinese, Fast Food",Electronic City,Electronic City,200.0,Average
Indian Highway Restaurant,Quick Bites,3.2,10,400.0,No,No,"North Indian, Chinese, Fast Food",Brookefield,Marathahalli,200.0,Average
Indian Kitchen,Casual Dining,4.2,485,1500.0,No,No,"North Indian, Mughlai",Malleshwaram,Malleshwaram,750.0,Excellent
Indian Kitchen - Hotel Presidency,Casual Dining,3.0,8,1000.0,Yes,No,"Fast Food, North Indian, Finger Food",Electronic City,Electronic City,500.0,Low
Indian Kitchen Eateries-Ike,Quick Bites,3.4,8,150.0,Yes,No,Fast Food,Bannerghatta Road,Btm,75.0,Average
Indian Paratha Company,Casual Dining,3.5,28,500.0,No,No,North Indian,Marathahalli,Marathahalli,250.0,Average
Indian Paratha Factory,Quick Bites,2.7,24,250.0,Yes,No,North Indian,Jayanagar,Btm,125.0,Low
Indian Spice Food,Quick Bites,2.8,40,300.0,Yes,No,"North Indian, Chinese",Indiranagar,Ulsoor,150.0,Low
Indian Spicy Food,Quick Bites,3.2,4,200.0,No,No,"North Indian, South Indian",Old Airport Road,Old Madras Road,100.0,Average
Indian Tadka,Food Court,3.7,214,700.0,Yes,No,North Indian,Brookefield,Whitefield,350.0,Average
Indiana Burgers,Delivery,3.1,16,300.0,Yes,No,Burger,Marathahalli,Brookefield,150.0,Average
Indian'S Biriyani Point,Quick Bites,3.3,5,200.0,No,No,"Biryani, Chinese",Rajajinagar,Rajajinagar,100.0,Average
Indie Fusion Multi Cuisine Restaurant,Quick Bites,3.3,4,400.0,No,No,"Fast Food, Bbq, Rolls, Arabian, North Indian",Kalyan Nagar,Kalyan Nagar,200.0,Average
Indigo X Ii P,Pub,2.8,40,1250.0,No,No,"Finger Food, Continental, Pizza, Asian, North Indian",Hsr,Hsr,625.0,Low
Indigo Xp,Pub,4.2,2368,1400.0,No,No,"Finger Food, Continental, Asian, North Indian",Koramangala 4Th Block,Koramangala 5Th Block,700.0,Excellent
Indira Canteen,Quick Bites,3.3,5,300.0,No,No,South Indian,Malleshwaram,Rajajinagar,150.0,Average
Indira Darshini,Quick Bites,3.1,6,200.0,No,No,"South Indian, Chinese",Mg Road,Cunningham Road,100.0,Average
Indish Flavour,Quick Bites,2.8,40,450.0,No,No,"North Indian, Chinese, Biryani",Indiranagar,Jeevan Bhima Nagar,225.0,Low
Indore Eat Restaurant,Quick Bites,4.0,72,400.0,No,No,"Street Food, South Indian",Koramangala 4Th Block,Koramangala 6Th Block,200.0,Average
Indori Chatorey,Quick Bites,2.8,137,300.0,Yes,No,"North Indian, Street Food",Basavanagudi,Btm,150.0,Low
Indori Zaika,Quick Bites,2.8,105,300.0,Yes,No,North Indian,Bellandur,Hsr,150.0,Low
Indulge By Innerchef,Bakery,3.1,27,400.0,Yes,No,"Desserts, Bakery",Kalyan Nagar,Hennur,200.0,Average
Indulge Cupcakes,Bakery,3.8,17,500.0,No,No,"Bakery, Desserts",Marathahalli,Marathahalli,250.0,Average
Indus Family Restaurant,Casual Dining,3.8,117,600.0,Yes,No,"North Indian, Biryani","Byresandra,Tavarekere,Madiwala",Btm,300.0,Average
Indy Palate,Quick Bites,3.3,16,250.0,Yes,No,"Continental, Biryani, Italian, North Indian, Chinese",Marathahalli,Bellandur,125.0,Average
Indy'S Comfort Food,Quick Bites,4.1,399,300.0,No,No,"North Indian, Beverages, Fast Food",Brigade Road,Shivajinagar,150.0,Excellent
Infinitea Tea Room & Tea Store,"Casual Dining, Cafe",4.2,864,1000.0,Yes,Yes,"Continental, Cafe, Desserts, Salad, Momos",Residency Road,Cunningham Road,500.0,Excellent
Infinity - The Zuri,Fine Dining,3.8,67,2700.0,No,Yes,"North Indian, Continental, Chinese",Whitefield,Whitefield,1350.0,Average
Infinity Family Restaurant,Casual Dining,3.6,46,500.0,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,250.0,Average
Ingu Tengu,Quick Bites,3.9,197,150.0,No,No,South Indian,Bannerghatta Road,Bannerghatta Road,75.0,Average
Inhouse Burger,Food Court,3.6,10,400.0,No,No,Fast Food,Bellandur,Bellandur,200.0,Average
Innate,Delivery,3.0,8,400.0,No,No,Beverages,Kalyan Nagar,Hennur,200.0,Low
Innerchef,Delivery,3.1,78,500.0,Yes,No,"North Indian, Continental",Kalyan Nagar,Hennur,250.0,Average
Inntense Restobar,"Bar, Casual Dining",2.8,40,1600.0,No,Yes,"Finger Food, Continental, North Indian, Fast Food",Old Airport Road,Indiranagar,800.0,Low
Insomniac'S Delight,Delivery,4.0,231,300.0,Yes,No,"Fast Food, North Indian",Electronic City,Electronic City,150.0,Average
Insta Cafe,Cafe,2.9,7,400.0,Yes,No,"Cafe, Continental, Pizza, Italian, Beverages",Bannerghatta Road,Btm,200.0,Low
Intalia,Food Court,3.6,323,800.0,Yes,No,"Pizza, Italian",Bannerghatta Road,Bannerghatta Road,400.0,Average
Intriicake,"Quick Bites, Bakery",3.8,34,350.0,Yes,No,"Bakery, Desserts, Italian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,175.0,Average
Invitation Bar & Restaurant,Bar,3.0,15,1000.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,500.0,Low
Irie,Casual Dining,3.2,1,800.0,No,No,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,400.0,Average
I-Scoop Cafe,Quick Bites,2.8,40,300.0,Yes,No,"Fast Food, Pizza, Desserts","Byresandra,Tavarekere,Madiwala",Jayanagar,150.0,Low
I-Scream'D,Dessert Parlor,3.4,6,200.0,No,No,Ice Cream,Sarjapur Road,Sarjapur Road,100.0,Average
Ishta Cafe,Quick Bites,3.9,40,500.0,Yes,No,"Pizza, South Indian, Healthy Food",Basavanagudi,Jayanagar,250.0,Average
Ishta Upahar,Quick Bites,3.4,41,100.0,Yes,No,South Indian,Brigade Road,Ulsoor,50.0,Average
